Date ,Season,Competition,Game Week,Group,Time,Match Venue,Home Team,Away Team,HTHG,HTAG,FTHG,FTAG,FTR,Remarks,Notes,HomeTeam Goals,AwayTeam Goals,HomeTeam XI,HomeTeam Reserves,AwayTeam XI,AwayTeam Reserves,HomeTeam Coach,AwayTeam Coach,Penalties
22/11/2023,2023/24,NWFL Regular Season ,2,B,2:00 PM,"Onikan Stadium, Lagos ",FC Robo Queens,Sunshine Queens,0,1,3,2,H,Completed ,,"⚽Folashade Ijamilusi (57)
⚽Favour Nkwocha (72)
⚽Esther Onyenezide (78)","⚽Bolaji Olamide (28)
⚽Bunmi Adenuga (74)","Ndubisi Esther  16
Olodu Mercy  1
Yusuf Misturat 28
Adeyemo Fasilat 5
Nkwocha Favour 11
Ogbuchi Chidinma 12
 Oladipo Shukurat 24
Salami Mary 35
Peters Deborah 33
Onyenezide Esther 10
Ijamilusi Folashade 13","Adegbite Bukola 22
Yahaya Mariam 19
Ariori Dolapo 27
Oduntan Azeezat 23
 Ajakaye Opeyemi 20
Adegbuyi Kemi 15
Afolayan Doyin 26
Adebayo Raheemot 17
Oladiti Rukayat 18","Jennifer Ukam 31 
Ireti Eretan 4
Bunmi Adenuga 10
Aluba Ogba 20 
Kehinde Aganmuyi 26
Joy Falegan 17 
Joy Ajah 34
Suliat Ajibade 14
Taiwo Ajibade 32 
Nwamaka Augusta 18 
Bolaji Olamide 13","Bright Etim 22 
Mistura Olamilekan 30
Eunice Ezeani 12 
Timilehin Towobola 3
Ugwu Rita  24 
Akwubo Obianuju 7 
Taiwo Aganmuyi 27
Divine Onwuchekwa  6
Chinansa Soroibe 28",,,
22/11/2023,2023/24,NWFL Regular Season ,2,B,4:00 PM,Samson Siasia Stadium,Bayelsa Queens,Ekiti Queens,2,0,2,0,H,Completed,,"⚽Shakirat Moshood (17)
⚽Blessing Illievida (33)",,,,,,,,
22/11/2023,2023/24,NWFL Regular Season ,2,B,4:00 PM,Asaba Township Stadium ,Delta Queens,Remo Stars Ladies,1,0,1,1,D,Completed,,⚽Alaba Olayemi (45) ,⚽Arubo Oluwaseyi (67),,,,,,,
22/11/2023,2023/24,NWFL Regular Season ,2,B,4:00 PM,Yakub Gowon Stadium ,Rivers Angels,Edo Queens ,1,1,3,1,H,Completed,,"⚽Motunrayo Ezekiel (6, 74)
⚽Chiamaka Okwuchukwu (80)",⚽Suliat Abideen (36),,,,,,,
29/11/2023,2023/24,NWFL Regular Season ,3,A,2:00 PM,"Enyimba Stadium, Aba, Abia State",Abia Angels ,Heartland Queens,0,0,1,2,A,Completed ,,⚽Adebayo Damilola (54),"⚽Okwara Oluchi (47)
⚽Lucky Mary (56)","Mary Vincent (GK) 1
Nwauke Nkiru 26
Akaka Joy 17
Udeme Uko (C) 6
Blessing Barnabas 30
Funmi Adefuye 13
Adebayo Damilola 31
Isaiah Charity 25
Ojialor Chiamaka 9
Ndudim Amarachi 15
Robert Nancy 24","Uju Ngwu 23
Ambless Ogbonna 3
Isiaka Lolade 18
Tseke Francisca 32
Okeke Ijeoma 34
Echiepu Blessing 10
Ifeanyi Kindness 11
Tobi Oghenerugba 16
Adeshina Rose 21 ","Chukwu Uchenna (GK) 31
Orgii Kelechi 2
Iheoma Chinyere 13
Anaele Chidinma 16
Akpata Ekaette (C) 26
Ekezie Onyedikachi 5
Kalu Onyinyechi 23
Okwara Oluchi 4
Lucky Mary 9
Charles Nwabueze 18
Orji Chinwendu 8","Atulayo Amarachi (GK) 12
Onwere Oluomachi 6
Williams Nnenna 11
Ofoegbu Oluchi 25 
Enamino Joy 15
Chinaka Chinedu 19
James Emmanuella 20 ",,,
29/11/2023,2023/24,NWFL Regular Season ,3,A,4:00 PM,Aguiyi Ironsi Mini Stadia,Naija Ratels,Adamawa Queens ,1,1,2,1,H,Completed ,,"⚽Atume Doorsuur (2)
⚽Anani Oluwaseun (75[og])",⚽Adunola Latifat (45),,,,,,,
29/11/2023,2023/24,NWFL Regular Season ,3,A,4:00 PM,"Iyamho Stadium, Auchi",Confluence Queens,Royal Queens,0,0,1,0,H,Completed,,⚽Fagbenro Daniella (85),,,,,,,,
29/11/2023,2023/24,NWFL Regular Season ,3,A,4:00 PM,"Onikan Stadium, Lagos",Dannaz Ladies,Nassarawa Amazons,0,0,0,0,D,Completed,,,,,,,,,,
29/11/2023,2023/24,NWFL Regular Season ,3,B,4:00 PM,"Remo Stadium, Ikenne, Ogun State",Remo Stars Ladies,Bayelsa Queens,0,0,1,1,D,Completed ,,⚽Adaobi Okah (89),⚽Chinyere Igboamalu (58),,,,,,,
29/11/2023,2023/24,NWFL Regular Season ,3,B,4:00 PM,"Oluyemi Kayode Stadium, Ado Ekiti ",Ekiti Queens,FC Robo Queens ,0,0,0,0,D,Completed,,,,,,,,,,
29/11/2023,2023/24,NWFL Regular Season ,3,B,4:00 PM,Akure Township Stadium,Sunshine Queens,Edo Queens ,0,1,0,1,A,Completed,,,⚽Mafiesere Kafayat (7),,,"Uzoma  Ijeoma 1
Odiagbe Deborah 23
Joseph Miracle 35
Sunday Blessing 13 
Uroko Valentine 14
Mafisere Kafayat 4 
Osigwe Goodness 10
Abideen Suliat 22  
Moses Esther 7
Odoma Amarachi 25 
Abdulrasheed Mariam 18","Obidinma Nkiruka 21
Alani Jumoke 17 
Titus  Happiness 29
Ajimuda Rebecca 24
Momoh Esther 34
Onuorah Amarachwukwu 19
Efe Osakpolor 26 
Peace Abbey 32
Godwin Eunice 9",,,
29/11/2023,2023/24,NWFL Regular Season ,3,B,4:00 PM,Asaba Township Stadium ,Delta Queens,Rivers Angels,1,0,2,0,H,Completed,,"⚽Adegbemile Rebecca (30)
⚽Olabiyi Folajomi (54)",,,,,,,,
06/12/2023,2023/24,NWFL Regular Season ,4,A,1:00 PM,"Dan Anyiam, Owerri, Imo State",Heartland Queens ,Confluence Queens,0,0,0,0,D,Completed,,,,"Chukwu Uchenna (GK) 31
Orgii Kelechi 2
Iheoma Chinyere 13
Anaele Chidinma 16
Akpata Ekaette (C) 26
Ekezie Onyedikachi 5
Kalu Onyinyechi 23
Samson Faith 10
Lucky Mary 9
Okwara Oluchi 4
Opara Chimebere 7","Akwasi Cynthia (GK) 32
Onwere Oluomachi 6 
Williams Nnenna 11
Ezinne Wokocha 30
Ofoegbu Oluchi 25
 Duru Marvellous 22
 Chinaka Chinedu 19 
Orji Chinwendu 8
Ekpo Blessing 29","Silva Echefu 1
Mary Opara 5 
Ikokoh Glory 50
Saidat Adebiyi 4 
Hauwa Abdullahi 3
Lucky Ugbehru 6
Merit Offor 15
Mary Mamudu 29
Kemi Akintan 9
Amarachi Okoronkwo 10
Emenike Chinenye 28","Ruth Ogana 32
Amarachi Onyekwe 20
Barakat Ganiyu 26
Nana Yusuf 12
Fagbenro Daniella 7
Patience Ojo 18
Mustapha Ifeoluwa 17",,,
06/12/2023,2023/24,NWFL Regular Season ,4,A,2:00 PM,Lafia City Stadium,Nasarawa Amazons,Abia Angels,0,0,0,0,D,Completed,,,,,,"Mercy Vincent (GK) 1
Nwauke Nkiru 26
Blessing Barnabas 30
Funmilayo Adefuye 13
Joy Akaka 17
Charity Isaiah 25 
Helen Ugah 12
Adeshina Rose 11
Tobi Oghenerugba 16
Adebayo Damilola 31
Udeme Uko (C) 6","Juliana Duru (GK) 22
Ambless Ogbonna 3
Ijeoma Okeke 34
Ifeanyi Kindness 11
Chikwai Ifunanya 27 
Chiamaka Ojialor 9
Blessing Echiepu 10 
Olalade Isiaka 18",,,
06/12/2023,2023/24,NWFL Regular Season ,4,A,4:00 PM,"Sapele Stadium, Delta",Royal Queens ,Naija Ratels,0,0,1,1,D,Completed,,⚽Osas Enoma (55),⚽Eyitemi Omagbemi (50[og]),,,"Patience David (GK) 33
Ali Paulina 4
Tsebee Rita 34
Joshua Ranti 26
Oladeji Oluwabunmi 15
Ajubiga Chikodi 12
Ikpa Janet 27
Atume Doosuur 22
Ebi Onome 5
Emmanuel Blessing 8
Saliu Grace 29","Omilana Faith (GK)16
Adebayo Jumai 6
Adeshina Tunmininu 9
Bankole Sofiat 21
Nwachukwu Adanna 20
Animashaun Aisha 7
Alayande Temitope 28",,,
06/12/2023,2023/24,NWFL Regular Season ,4,A,4:00 PM,"Pantami Stadium, Gombe",Adamawa Queens,Dannaz Ladies,1,0,1,0,H,Completed,Match apparently started earlier than 4pm.,⚽Mary Moses (11),,,,,,,,
06/12/2023,2023/24,NWFL Regular Season ,4,B,2:00 PM,"Onikan Stadium, Lagos",FC Robo Queens ,Remo Stars Ladies,0,0,2,1,H,Completed,,"⚽Ajakaye Opeyemi (50)
⚽Folashade Ijamilusi (53)",⚽Adaobi Okah (81),,,https://twitter.com/RemoStarsLadies/status/1732380328449212817?t=ol8WCucKQ29qC7pwnp91cg&s=19,https://twitter.com/RemoStarsLadies/status/1732380328449212817?t=ol8WCucKQ29qC7pwnp91cg&s=19,,,
06/12/2023,2023/24,NWFL Regular Season ,4,B,4:00 PM,Yakub Gowon Stadium ,Rivers Angels ,Sunshine Queens,0,0,3,0,H,Completed,,"⚽Olamide Adugbe(53[pen], 90+4)
⚽Okpe Blessing (60)",,,,,,,,
06/12/2023,2023/24,NWFL Regular Season ,4,B,4:00 PM,Samson Siasia Stadium,Bayelsa Queens ,Delta Queens,0,0,1,0,H,Completed,,⚽Chinyere Igboamalu (78),,,,,,,,
06/12/2023,2023/24,NWFL Regular Season ,4,B,6:00 PM,"Samuel Ogbemudia Stadium, Edo",Edo Queens,Ekiti Queens,1,0,3,1,H,Completed,,"⚽Glory Osaghae (44, 49, 82)",⚽Regina Omede (79),,,"Andy Lucky (GK) 23
Alatise Basirat 21
Falese Omobola 26
Azeez Zainab 7
Ohaeri Miracle 4
Opeyori Foluke 25
Oyeyemi Anuoluwapo 13
Fakunle Seun 30
Omede Regina 28
Okotete Rachael 18
Eyebhoria Winifred 27","Adeleke Adedoyin 22
Aseere Taiwo 10
Oyeniran Faridat 20
Godwin Glory 24
Salau Rashidat 11
Sarafa Tobiloba 9
Enoch Joy 19
Ismail Zainab 6
Akinola Fayoke 3",,,
13/12/2023,2023/24,NWFL Regular Season ,5,A,4:00 PM,"Aguiyi Ironsi Stadium, FCT",Naija Ratels,Heartland Queens,0,0,0,0,D,Completed ,,,,,,,,,,
13/12/2023,2023/24,NWFL Regular Season ,5,A,4:00 PM,"Iyamho Stadium, Auchi ",Confluence Queens,Abia Angels,2,0,2,0,H,Completed,,"⚽Feranmi Feheezah (16)
⚽Mary Mamudu (27)",,,,,,,,
13/12/2023,2023/24,NWFL Regular Season ,5,A,4:00 PM,"Onikan Stadium, Lagos",Dannaz Ladies,Royal Queens,0,1,2,1,H,Completed,,"⚽Fatimoh Solaty (88)
⚽Mary Aduramomi (90+3)",⚽Katherine Gabriel (38),,,,,,,
13/12/2023,2023/24,NWFL Regular Season ,5,A,4:00 PM,"Pantami Stadium, Gombe",Adamawa Queens,Nasarawa Amazons,2,1,2,1,H,Completed ,,"⚽Oluwaseun Anani (11[pen])
⚽Injomaco Mngunegen (31)",⚽Bisola Mosaku (8),,,,,,,
13/12/2023,2023/24,NWFL Regular Season ,5,B,4:00 PM,"Remo Stadium, Ikenne, Ogun State",Remo Stars Ladies,Edo Queens,2,0,2,0,H,Completed,,"⚽Innocent Patricia (7)
⚽Esther Ogbonna Akudo (40)",,,,,,,,
13/12/2023,2023/24,NWFL Regular Season ,5,B,4:00 PM,"Oluyemi Kayode Stadium, Ado Ekiti ",Ekiti Queens,Sunshine Queens,0,0,1,0,H,Completed ,,⚽Miracle Ohaeri (63),,,,,,,,
13/12/2023,2023/24,NWFL Regular Season ,5,B,4:00 PM,Asaba Township Stadium ,Delta Queens,FC Robo Queens,1,0,1,1,D,Completed,,⚽Chinaza Agoh (37),⚽ Folashade Ijamilusi (90+3),,,,,,,
13/12/2023,2023/24,NWFL Regular Season ,5,B,4:00 PM,Samson Siasia Stadium,Bayelsa Queens,Rivers Angels,0,1,1,1,D,Completed,,⚽Rose Ekong (55),⚽Motunrayo Ezekiel (3),,,,,,,
20/12/2023,2023/24,NWFL Regular Season ,6,A,4:00 PM,Lafia City Stadium,Nasarawa Amazons ,Confluence Queens,1,0,1,0,H,Completed,,⚽Ojiyovwi Kesiena (17),,"Unachukwu Udoka (GK) 32
Nwoha Confidence 30
Essien Marylen  26
Isah Sikiratu 6 
Adesoji 5
Kalu Chinyere 4 
Saheed Adebisi 14
Shobowale Olushola 20
Mosaku Bisola 21
Ojiyovwi Kesiena 28
Ayatsea Hembafan 13","Okoye Chioma (GK) 35
Emmanuel Gift 27
Dike Patience 3 
Yina Adoo 10
Mathias Josephine 31
Omosuyi Ayowunmi 16
Lot Daniella 7
Agas Nkechi 19
Saleh Blessing 9","Slyvia Echefu 1
Ikokoh Glory 30
Mary Opara 5
Saidat Adebiyi 4
Hauwa Abdullahi 3
Lucky Ugbehru 6
Merit Offor 15 
Kemi Akintan 9
Mary Mamudu 29
Amarachi Okoronkwo 10
Feranmi Odutade 11 ","Ruth Ogana 32
Doom Aondraseer 27
Patience Ojo 18
Emenike Chinenye 28
Nana Yusuf 12
Ossai Esther 21
Amarachi Onyekwe 20",,,
20/12/2023,2023/24,NWFL Regular Season ,6,A,4:00 PM,"Dan Anyiam, Owerri, Imo State",Heartland Queens ,Dannaz Ladies,0,0,2,1,H,Completed,,"⚽Chimebere Opara (46)
⚽Chinwendu Orji (90)",⚽Ogunfuwa Omotoke (76),"Chukwu Uchenna (K) 31
Orgii Kelechi 2
Iheoma Chinyere 13
Anaele Chidinma 16
Onwere Oluomachi 5
Ekezie Onyedikachi 6
Kalu Onyinyechi 23
Okwara Oluchi 4
Chinaka Chinedu 19
Enamino Joy 15
Opara Chimebere 7","Akwasi Cynthia 32
Williams Nnenna 11
Duru Amaechi 14
Duru Marvellous 22
Okorie Mary 27
Orji Chinwendu 8
Ekpo Blessing 29
Samson Faith 10
James Emmanuella 20","Jimoh Selimot (GK) 1
Ayegbami Nofisat 2
Awori Opeyemi 3
Akintola Olawunmi 21
Ogunfuwa Omotoke 16
Nnaji Chidera 17
Bakare Deborah 20
Akinbo Ajoke 9
Isaac Delight 19
Solaty Fatimoh 8
Raji Zainab 10","Okam Ruth (GK) 34
Akpowonane Glory 12
Aduramomi Mary 13
Akintante Bukola 24
Moses Farkikyen 11
Anusillem Amarachi 7 ",,,
20/12/2023,2023/24,NWFL Regular Season ,6,A,4:00 PM,"Sapele Stadium, Delta",Royal Queens,Adamawa Queens,1,0,1,0,H,Completed,,⚽Raheem Aishat (18),,,,"Oloko Fatimat (GK) 16
Paul Immaculate 35
Anani Oluwaseun 17
Sunday Godiya 4
Aka'ajime Sandra 5
Mosndi Angela 24
Adunola Latifat 18
Boiygyande Loveth 15
Injimaco Mngunegen 26
Onyinyechi Florence 11
Moses Mary 7","Sabo Monica 8
Anthony Onyinyechi 14
Blessing Umutong Sule 28
Izogie Joy 22
Alfred Mary 23
Edem Diamond 25
Dumba Nana 20 ",,,
21/12/2023,2023/24,NWFL Regular Season ,6,A,4:00 PM,"Enyimba Stadium, Aba, Abia State",Abia Angels,Naija Ratels,1,0,1,0,H,Completed,,⚽Chiamaka Ojialor (40),,"Vincent Mercy (GK) 1
Nwauke Nkiru 26
Akaka Joy 17
Udeme Uko (C) 6
Blessing Barnabas 30 
Adefuye Funmilayo 13 
Ifeanyi Kindness 11
Sylvia Iheachuwku 7
Ojialor Chiamaka 9
Ndudim Amarachi 15
Adeshina Rose 21","Uju Ngwu 23
Ambless Ogbonna 3
Tseke Francisca 32
Chikwai Ifunanya 27 
Ugah Helen 12
Okeke Ijeoma 34
Echiepu Blessing 10
Tobi Oghenerugba 16
Robert Nancy 24","Omilana Faith (GK) 16
Ali Paulina 4
Tsebee Rita 34 
Emmanuel Blessing 8
Oladeji Oluwabunmi 15
Ajubiga Chikodi 12 
Alayande Temitope 28 
Saliu Grace 29 
Nwachukwu Adanna 20 
Sunday Glory 10 
Adeshina Tunmininu 9","Edward Favour 31
Adebayo Jumai 6
Animashaun Aisha 7
Bankole Sofiat 21
Davies Nora 25 
Unamba Augustina 19
Atume Doosuur 22
Igbokwe Joy 14",,,
20/12/2023,2023/24,NWFL Regular Season ,6,B,4:00 PM,Akure Township Stadium ,Sunshine Queens ,Remo Stars Ladies ,1,0,2,1,H,Completed,,"⚽Akwubo Obianuju (36)
⚽Chinaza Soroibe (47)",⚽Isigbo Blessing (48),"Precious Aaron 29
Akwubo Obianuju 7
Aluba Ogba 20 
Kehinde Aganmuyi 26
Divine Onwuchekwa 6
Shola Oduwale 11 
Taiwo Ajibade 32
Joy Ajay 34
Nwamaka Augusta 18 
Chinaza Soroibe 28
Bolaji Olamide 13","Elizabeth Boniface 1
Suliat Ajibade 14 
Ugwu Rita 24 
Ireti Eretan 4 
Timilehin Towobola 3
Ololade Akintunde 16
Taiwo Aganmuyi 27
Mercy Mbachu 5 
Mistura Olamilekan 30 ","Nwachukwu Elizabeth (GK) 21
Blessed Isigbo 11
Akudo Ogbonna 18
Hannah Ibrahim 4
Opeyemi Sunday 24
Nneka Julius Eke (C) 10
Taiwo Adegoke 3
Vincent Precious 19
Patricia Innocent 17
Adaobi Okah 26
Arubo Oluwaseyi 7","Chiamaka Enebeli (GK) 30
Obasi Precious 15
Yaro Yohanna 12
Ayomide Arowokeye 20
Moyinoluwa Owolabi 14
Praise Aigbojie 16
Damilola Adeyanju 25
Dorcas John 29
Similoluwa Okeesiji 27",,,
20/12/2023,2023/24,NWFL Regular Season ,6,B,4:00 PM,Yakub Gowon Stadium ,Rivers Angels ,Ekiti Queens ,2,0,2,0,H,Completed,,"⚽Chiamaka Okwuchuku (31)
⚽Olamide Adugbe (40)",,,,,,,,
20/12/2023,2023/24,NWFL Regular Season ,6,B,6:00 PM,"Samuel Ogbemudia Stadium, Edo",Edo Queens ,Delta Queens ,0,0,1,0,H,Completed,,⚽Esther Moses (59),,https://twitter.com/EdoQueensFC/status/1737475495770439816?t=8tsnsL1o6q3pRnCItbHZrg&s=19,https://twitter.com/EdoQueensFC/status/1737475495770439816?t=8tsnsL1o6q3pRnCItbHZrg&s=19,,,,,
20/12/2023,2023/24,NWFL Regular Season ,6,B,4:00 PM,"Onikan Stadium, Lagos",FC Robo Queens,Bayelsa Queens ,0,1,2,1,H,Completed,,"⚽ Ajakaye Opeyemi (50)
⚽Folashade Ijamilusi (59)",⚽Rose Ekong (22),"Ndubisi Esther 16 
Adegbite Bukola 22
Salami Mary 35
Yusuf Misturat 28
Ogbuchi Chidinma 12
Nkwocha Favour 11
Ajakaye Opeyemi 20 
Oduntan Azeezat 23
Afolayan Adedoyin 26
Oladipo Shukurat 24
Ijamilusi Folashade 13","Adegbuyi Oluwakemi 15
Adeyemo Fasilat 5
Peters Deborah 33
Adebayo Raheemot 17
Oladiti Rukayat 18
Yahaya Mariam 19
Ariori dolapo 27
Onyenezide Esther 10 
Afuye Kehinde 29","Okeke Oyinyechukwu (GK) 1
Loveth Edeh 2
Blessing Abiola 15
Mary Aderemi 12
Alake Kasali 6
Fehitola Mabokanje 29
Itimi Mercy 16
Chinyere Igboamalu (C) 8
 Etim Edidiong 7 
Olapade Zainab 10
Rose Ekong 21","Monle Omini (GK) 30
Esther Adeboye 26
Mabel Effiom 23
Jennifer John Oliver 14
Emmanuel Favour 24
 Shakirat Moshood 17
 Yemisi Samuel 33
Mary Anjor 19 
Dooshima Tarnum 11",,,
